Name,Age,Tm,Pos,Season,G,Int,PD,FF,Sk,Comb,Solo,Ast,TFL,QBHits,DefFS,Value,Rush,Coverage,Tackle
Zaire Franklin,27,IND,LB,2023,5,0,2,1,1.5,69,43,26,2,2,2.09,0.13,0.3166061268634826,-0.09139578310773423,4.289488304428639
Quincy Williams,27,NYJ,LB,2023,5,0,4,1,2,48,38,10,5,4,2.14,0.14,1.3225935050156217,0.5618209865663065,2.780131534776004
Foyesade Oluokun,28,JAX,LB,2023,5,0,1,0,0,53,35,18,3,2,1.35,0.09,0.051872606297130225,-0.41800416794475465,2.896235901672361
Camryn Bynum,25,MIN,S,2023,5,0,2,1,0,51,32,19,2,0,1.19,0.08,-0.37170102660903365,-0.09139578310773423,2.6059749844314695
Jevon Holland,23,MIA,S,2023,5,0,3,2,0,43,31,12,2,0,1.1,0.07,-0.37170102660903365,0.2352126017292861,2.0835053333978646
T.J. Edwards,27,CHI,LB,2023,5,0,0,0,1,62,30,32,2,2,1.35,0.09,0.15776601452367114,-0.7446125527817751,3.1284446354650735
Ernest Jones,24,LAR,LB,2023,5,0,1,0,1,53,30,23,8,0,1.69,0.11,1.2167000967890806,-0.41800416794475465,2.6059749844314695
Minkah Fitzpatrick,27,PIT,S,2023,5,0,2,0,0,41,29,12,0,0,0.65,0.04,-0.7952746595151975,-0.09139578310773423,1.8512965996051511
Fred Warner,27,SFO,LB,2023,5,1,3,1,2,41,29,12,3,2,1.82,0.12,0.6872330556563758,1.2150377562403472,1.8512965996051511
Kwon Alexander,29,PIT,LB,2023,5,0,0,0,1,34,27,7,5,2,0.85,0.05,0.7931264638829169,-0.7446125527817751,1.3288269485715463
Cody Barton,27,WAS,LB,2023,5,0,0,0,0,45,27,18,0,2,0.49,0.03,-0.5834878430621155,-0.7446125527817751,1.967400966501508
Julian Blackmon,25,IND,S,2023,5,1,1,0,0,41,27,14,1,0,1,0.06,-0.5834878430621155,0.5618209865663065,1.7351922327087945
Kamren Curl,24,WAS,S,2023,5,0,1,0,1,44,27,17,3,1,1.02,0.06,0.2636594227502121,-0.41800416794475465,1.9093487830533293
Tremaine Edmunds,25,CHI,LB,2023,5,0,0,0,0,48,27,21,3,0,0.78,0.05,-0.15991421015595175,-0.7446125527817751,2.1415575168460426
Dre Greenlaw,26,SFO,LB,2023,5,0,2,0,1,37,27,10,3,2,1.03,0.07,0.3695528309767531,-0.09139578310773423,1.5029834989160817
Jerry Jacobs,26,DET,CB,2023,5,3,5,0,0,29,27,2,0,0,1.94,0.12,-0.7952746595151975,3.82790483493651,1.0385660313306548
Julian Love,25,SEA,S,2023,4,0,3,0,0,37,27,10,1,0,1.29,0.07,-0.5305411389488451,0.4801688903570514,2.431818434086934
C.J. Mosley,31,NYJ,LB,2023,5,1,3,0,0,50,27,23,3,1,1.69,0.11,-0.05402080192941083,1.2150377562403472,2.2576618837423994
Roquan Smith,26,BAL,LB,2023,5,0,4,0,1.5,54,27,27,3,3,1.79,0.11,0.6342863515431055,0.5618209865663065,2.4898706175351126
Bobby Wagner,33,SEA,LB,2023,4,0,0,0,2,50,27,23,3,2,1.8,0.09,1.0578599844492693,-0.7446125527817751,3.3751664151198315
Kyzir White,27,ARI,LB,2023,5,1,1,0,1,48,27,21,4,1,1.6,0.1,0.47544623920329393,0.5618209865663065,2.1415575168460426
Kei'Trel Clark,22,ARI,CB,2023,5,0,4,0,0,28,25,3,1,0,0.6,0.04,-0.5834878430621155,0.5618209865663065,0.8644094809861201
Jordan Hicks,31,MIN,LB,2023,5,0,1,1,0,43,25,18,1,0,0.54,0.03,-0.5834878430621155,-0.41800416794475465,1.7351922327087945
Daxton Hill,23,CIN,S,2023,5,2,3,0,1.5,37,25,12,4,2,2.02,0.13,0.7401797597696463,2.1948629107514086,1.386879132019725
Deommodore Lenoir,24,SFO,DB,2023,5,1,2,0,0,33,25,8,0,0,0.79,0.05,-0.7952746595151975,0.8884293714033269,1.1546703982270117
Damarri Mathis,24,DEN,CB,2023,5,0,0,0,0,30,25,5,2,0,0.08,0.01,-0.37170102660903365,-0.7446125527817751,0.9805138478824769
Bobby Okereke,27,NYG,LB,2023,5,1,3,1,0,42,25,17,3,1,1.47,0.09,-0.05402080192941083,1.2150377562403472,1.6771400492606163
Alex Anzalone,29,DET,LB,2023,5,0,2,0,1,35,24,11,1,4,0.8,0.05,0.15776601452367114,-0.09139578310773423,1.21272258167519
Myles Bryant,25,NWE,DB,2023,5,0,2,2,1,31,24,7,3,1,0.74,0.05,0.2636594227502121,-0.09139578310773423,0.9805138478824769
Michael Davis,28,LAC,CB,2023,4,0,3,0,0,25,24,1,1,0,0.81,0.04,-0.5305411389488451,0.4801688903570514,1.343339994433591
Jack Gibbens,25,TEN,LB,2023,5,0,1,0,0,40,24,16,1,1,0.48,0.03,-0.4775944348355746,-0.41800416794475465,1.5029834989160817
Germaine Pratt,27,CIN,LB,2023,5,1,1,1,1,39,24,15,4,1,1.33,0.08,0.47544623920329393,0.5618209865663065,1.444931315467903
Harrison Smith,34,MIN,S,2023,5,0,0,2,3,38,24,14,2,4,0.97,0.06,1.0049132803359988,-0.7446125527817751,1.386879132019725
Reed Blankenship,24,PHI,S,2023,4,1,6,0,0,34,23,11,1,0,2.02,0.1,-0.5305411389488451,2.9297317766347044,1.9238618289153742
Kaden Elliss,28,ATL,LB,2023,5,0,0,0,1,35,23,12,2,2,0.46,0.03,0.15776601452367114,-0.7446125527817751,1.1546703982270117
Rayshawn Jenkins,29,JAX,S,2023,5,0,3,0,0,26,23,3,3,0,0.53,0.03,-0.15991421015595175,0.2352126017292861,0.6322007471934072
Alex Singleton,30,DEN,LB,2023,5,0,1,0,0,44,23,21,1,1,0.57,0.04,-0.4775944348355746,-0.41800416794475465,1.6771400492606163
Brandon Stephens,26,BAL,DB,2023,5,1,4,0,0,34,23,11,0,0,1.06,0.07,-0.7952746595151975,1.5416461410773674,1.0966182147788335
K'Von Wallace,26,ARI,S,2023,5,1,4,0,0,40,23,17,1,0,1.29,0.08,-0.5834878430621155,1.5416461410773674,1.444931315467903
Logan Wilson,27,CIN,LB,2023,5,2,3,0,0,35,23,12,2,0,1.52,0.1,-0.37170102660903365,2.1948629107514086,1.1546703982270117
Marco Wilson,24,ARI,CB,2023,5,0,3,0,0,29,23,6,0,0,0.29,0.02,-0.7952746595151975,0.2352126017292861,0.806357297537942
Azeez Al-Shaair,26,TEN,LB,2023,5,0,2,0,1,47,22,25,3,3,1.2,0.08,0.47544623920329393,-0.09139578310773423,1.7932444161569732
Jessie Bates III,26,ATL,S,2023,5,3,4,2,0,35,22,13,1,1,1.95,0.12,-0.4775944348355746,3.50129645009949,1.0966182147788335
Terrel Bernard,24,BUF,LB,2023,5,2,2,0,2,45,22,23,2,2,1.92,0.12,0.47544623920329393,1.8682545259143881,1.6771400492606163
Kevin Byard,30,TEN,S,2023,5,0,0,0,0,37,22,15,0,0,-0.03,-0,-0.7952746595151975,-0.7446125527817751,1.21272258167519
Kyle Dugger,27,NWE,DB,2023,5,0,2,0,0,36,22,14,3,1,0.68,0.04,-0.05402080192941083,-0.09139578310773423,1.1546703982270117
Cole Holcomb,27,PIT,LB,2023,5,0,2,2,0,34,22,12,3,1,0.62,0.04,-0.05402080192941083,-0.09139578310773423,1.0385660313306548
Kareem Jackson,35,DEN,S,2023,5,2,2,0,0,32,22,10,0,0,1.12,0.07,-0.7952746595151975,1.8682545259143881,0.9224616644342988
Xavier McKinney,24,NYG,S,2023,5,0,4,1,0,29,22,7,0,0,0.43,0.03,-0.7952746595151975,0.5618209865663065,0.7483051140897634
Josh Metellus,25,MIN,S,2023,5,0,2,0,0,34,22,12,1,2,0.46,0.03,-0.37170102660903365,-0.09139578310773423,1.0385660313306548
Kenny Moore,28,IND,CB,2023,5,1,3,0,0,30,22,8,1,0,0.88,0.06,-0.5834878430621155,1.2150377562403472,0.806357297537942
Jason Pinnock,24,NYG,S,2023,5,1,1,1,0,30,22,8,3,1,0.82,0.05,-0.05402080192941083,0.5618209865663065,0.806357297537942
D.J. Reed,27,NYJ,CB,2023,4,0,0,0,0,28,22,6,0,0,0.09,0,-0.7952746595151975,-0.7446125527817751,1.4159052237438141
Nick Scott,28,CIN,S,2023,5,0,0,0,0,37,22,15,1,1,0.15,0.01,-0.4775944348355746,-0.7446125527817751,1.21272258167519
Quay Walker,23,GNB,LB,2023,4,1,2,0,0,47,22,25,2,1,1.89,0.1,-0.1334408580993165,1.2966898524496024,2.7946445806380487
Vonn Bell,29,CAR,S,2023,5,1,2,0,0,33,21,12,0,0,0.68,0.04,-0.7952746595151975,0.8884293714033269,0.9224616644342988
Brian Branch,22,DET,DB,2023,4,1,4,0,0,25,21,4,3,0,1.63,0.08,-0.0010740978161403042,2.1132108145421533,1.1256443065029225
David Long,27,MIA,LB,2023,5,0,0,1,1,36,21,15,4,2,0.64,0.04,0.581339647429835,-0.7446125527817751,1.0966182147788335
Micah McFadden,23,NYG,LB,2023,4,0,1,0,0,31,21,10,5,1,1.08,0.05,0.6607597035997407,-0.3363520717354995,1.5610356823642597
Patrick Queen,24,BAL,LB,2023,5,0,2,0,2.5,43,21,22,4,4,1.41,0.09,1.269646800902351,-0.09139578310773423,1.5029834989160817
Darius Slay,32,PHI,CB,2023,5,1,4,0,0,25,21,4,0,0,0.77,0.05,-0.7952746595151975,1.5416461410773674,0.458044196848872
Henry To'oTo'o,22,HOU,LB,2023,5,0,2,0,0,39,21,18,1,0,0.47,0.03,-0.5834878430621155,-0.09139578310773423,1.2707747651233683
Jordan Whitehead,26,NYJ,S,2023,5,3,4,0,0,28,21,7,1,0,1.74,0.11,-0.5834878430621155,3.50129645009949,0.6322007471934072
Jordyn Brooks,26,SEA,LB,2023,4,0,0,0,2,41,20,21,3,1,1.29,0.07,0.925493224166093,-0.7446125527817751,2.2141227461562654
Richie Grant,26,ATL,S,2023,5,0,1,0,0,31,20,11,1,3,0.19,0.01,-0.26580761838249267,-0.41800416794475465,0.7483051140897634
Kyle Hamilton,22,BAL,S,2023,5,1,2,1,3,24,20,4,4,3,1.36,0.09,1.3225935050156217,0.8884293714033269,0.3419398299525158
Roger McCreary,23,TEN,CB,2023,5,0,0,1,2,30,20,10,3,2,0.49,0.03,0.6872330556563758,-0.7446125527817751,0.6902529306415853
Trent McDuffie,23,KAN,CB,2023,5,0,4,2,0,28,20,8,0,4,0.56,0.04,-0.37170102660903365,0.5618209865663065,0.5741485637452286
Darnell Savage Jr.,26,GNB,S,2023,4,0,0,0,0,29,20,9,1,0,0.19,0.01,-0.5305411389488451,-0.7446125527817751,1.343339994433591
L'Jarius Sneed,26,KAN,CB,2023,5,0,4,0,0,26,20,6,3,3,0.76,0.05,0.15776601452367114,0.5618209865663065,0.458044196848872
Robert Spillane,28,LVR,LB,2023,4,0,0,0,1,33,20,13,2,1,0.74,0.04,0.2636594227502121,-0.7446125527817751,1.6336009116744825
Alontae Taylor,25,NOR,CB,2023,5,0,7,0,1,24,20,4,4,1,1.28,0.08,0.47544623920329393,1.5416461410773674,0.3419398299525158
Drue Tranquill,28,KAN,LB,2023,5,0,0,1,0.5,31,20,11,0,2,-0.09,-0.01,-0.42464773072230416,-0.7446125527817751,0.7483051140897634
Delarrin Turner-Yell,24,DEN,S,2023,5,0,1,0,0,24,20,4,0,1,-0.3,-0.02,-0.6893812512886566,-0.41800416794475465,0.3419398299525158
Pete Werner,24,NOR,LB,2023,5,1,1,0,0.5,37,20,17,0,1,0.73,0.05,-0.5305411389488451,0.5618209865663065,1.0966182147788335
Tyson Campbell,23,JAX,CB,2023,5,1,3,1,0,28,19,9,1,0,0.74,0.05,-0.5834878430621155,1.2150377562403472,0.5160963802970505
Andre Cisco,23,JAX,S,2023,5,2,3,1,0,27,19,8,1,0,1.15,0.07,-0.5834878430621155,2.1948629107514086,0.458044196848872
Zach Cunningham,29,PHI,LB,2023,5,0,0,0,0,33,19,14,1,1,-0.08,-0.01,-0.4775944348355746,-0.7446125527817751,0.806357297537942
Demario Davis,34,NOR,LB,2023,5,0,1,0,1,31,19,12,2,2,0.39,0.02,0.15776601452367114,-0.41800416794475465,0.6902529306415853
Jamin Davis,25,WAS,LB,2023,5,0,1,1,1,29,19,10,2,2,0.33,0.02,0.15776601452367114,-0.41800416794475465,0.5741485637452286
DeShon Elliott,26,MIA,S,2023,4,0,3,0,0,28,19,9,0,0,0.62,0.03,-0.7952746595151975,0.4801688903570514,1.1982095358131455
Rudy Ford,29,GNB,S,2023,4,1,3,0,0,26,19,7,0,0,1.11,0.06,-0.7952746595151975,1.7049503334958778,1.0530790771926997
Xavien Howard,30,MIA,CB,2023,5,1,4,0,0,22,19,3,0,1,0.68,0.04,-0.6893812512886566,1.5416461410773674,0.1677832796079805
Nicholas Morrow,28,PHI,LB,2023,4,0,0,1,3,21,19,2,6,4,1.32,0.07,2.5138943475642077,-0.7446125527817751,0.6902529306415853
Jabrill Peppers,28,NWE,DB,2023,5,0,1,1,0,30,19,11,2,0,0.07,0,-0.37170102660903365,-0.41800416794475465,0.6322007471934072
Justin Reid,26,KAN,S,2023,5,0,4,1,0,24,19,5,0,2,0.3,0.02,-0.5834878430621155,0.5618209865663065,0.2838876465043372
Elandon Roberts,29,PIT,LB,2023,5,0,0,0,0,31,19,12,3,2,0.16,0.01,0.051872606297130225,-0.7446125527817751,0.6902529306415853
Tyrique Stevenson,23,CHI,DB,2023,5,0,1,0,0,27,19,8,1,0,-0.16,-0.01,-0.5834878430621155,-0.41800416794475465,0.458044196848872
Jalen Thompson,25,ARI,S,2023,5,1,2,1,0,26,19,7,2,0,0.63,0.04,-0.37170102660903365,0.8884293714033269,0.3999920134006939
Divine Deablo,25,LVR,LB,2023,4,0,1,0,1,31,18,13,2,1,0.8,0.04,0.2636594227502121,-0.3363520717354995,1.343339994433591
Darrick Forrest,24,WAS,S,2023,5,0,0,0,0,29,18,11,0,0,-0.47,-0.03,-0.7952746595151975,-0.7446125527817751,0.5160963802970505
Amani Hooker,25,TEN,DB,2023,4,1,3,1,0,25,18,7,2,0,1.27,0.06,-0.26580761838249267,1.7049503334958778,0.907948618572254
Derwin James,27,LAC,S,2023,3,0,2,0,0,24,18,6,1,0,1.02,0.04,-0.4422966320933943,0.34408206334162617,1.8512965996051511
Derion Kendrick,23,LAR,DB,2023,5,0,3,0,0,23,18,5,2,0,0.17,0.01,-0.37170102660903365,0.2352126017292861,0.1677832796079805
Kader Kohou,25,MIA,CB,2023,5,0,2,0,1,25,18,7,3,2,0.46,0.03,0.3695528309767531,-0.09139578310773423,0.2838876465043372
Marshon Lattimore,27,NOR,CB,2023,5,1,6,0,0,24,18,6,0,0,0.96,0.06,-0.7952746595151975,2.1948629107514086,0.2258354630561591
Matt Milano,29,BUF,LB,2023,5,2,2,1,0,30,18,12,1,1,1.11,0.07,-0.4775944348355746,1.8682545259143881,0.5741485637452286
Tre'von Moehrig,24,LVR,S,2023,4,1,3,0,0,21,18,3,0,0,0.92,0.05,-0.7952746595151975,1.7049503334958778,0.6176877013313625
Sean Murphy-Bunting,26,TEN,CB,2023,5,0,3,2,0,26,18,8,0,0,0.03,0,-0.7952746595151975,0.2352126017292861,0.3419398299525158
Ivan Pace,23,MIN,LB,2023,5,0,0,0,0.5,29,18,11,0,4,-0.1,-0.01,-0.21286091426922218,-0.7446125527817751,0.5160963802970505
Asante Samuel Jr.,24,LAC,CB,2023,4,1,3,0,0,20,18,2,1,0,1,0.05,-0.5305411389488451,1.7049503334958778,0.5451224720211396
E.J. Speed,28,IND,LB,2023,5,0,2,1,1,26,18,8,4,2,0.59,0.04,0.581339647429835,-0.09139578310773423,0.3419398299525158
Benjamin St-Juste,26,WAS,CB,2023,5,0,3,1,0,24,18,6,0,0,-0.03,-0,-0.7952746595151975,0.2352126017292861,0.2258354630561591
Jahlani Tavai,27,NWE,LB,2023,5,0,1,0,1,30,18,12,2,1,0.27,0.02,0.051872606297130225,-0.41800416794475465,0.5741485637452286
Levi Wallace,28,PIT,CB,2023,5,2,7,0,0,21,18,3,0,0,1.44,0.09,-0.7952746595151975,3.50129645009949,0.05167891271162407
Jerome Baker,27,MIA,LB,2023,5,0,0,0,1.5,29,17,12,0,4,0.05,0,0.10481931041040063,-0.7446125527817751,0.458044196848872
Derrick Brown,25,CAR,DT,2023,5,0,0,0,1,29,17,12,2,5,0.26,0.02,0.47544623920329393,-0.7446125527817751,0.458044196848872
Damone Clark,23,DAL,LB,2023,5,0,0,0,0,31,17,14,1,0,-0.29,-0.02,-0.5834878430621155,-0.7446125527817751,0.5741485637452286
Akayleb Evans,24,MIN,CB,2023,5,0,3,1,0,25,17,8,0,0,-0.03,-0,-0.7952746595151975,0.2352126017292861,0.2258354630561591
Emmanuel Forbes,22,WAS,CB,2023,5,1,5,0,0,19,17,2,2,0,0.85,0.05,-0.37170102660903365,1.8682545259143881,-0.12247763763291071
Jordan Fuller,25,LAR,DB,2023,5,0,1,2,0,34,17,17,0,0,-0.11,-0.01,-0.7952746595151975,-0.41800416794475465,0.7483051140897634
Kristian Fulton,25,TEN,CB,2023,5,0,2,0,0,20,17,3,1,0,-0.28,-0.02,-0.5834878430621155,-0.09139578310773423,-0.06442545418473236
Stephon Gilmore,33,DAL,CB,2023,5,1,5,0,0,20,17,3,0,0,0.68,0.04,-0.7952746595151975,1.8682545259143881,-0.06442545418473236
C.J. Henderson,25,CAR,CB,2023,5,0,1,0,1,20,17,3,2,1,-0.09,-0.01,0.051872606297130225,-0.41800416794475465,-0.06442545418473236
Sam Hubbard,28,CIN,DE,2023,5,0,0,0,2,25,17,8,2,5,0.31,0.02,0.7931264638829169,-0.7446125527817751,0.2258354630561591
Kenneth Murray,25,LAC,LB,2023,4,1,2,0,1,26,17,9,3,1,1.43,0.07,0.5283929433165645,1.2966898524496024,0.907948618572254
Ryan Neal,28,TAM,S,2023,4,0,0,0,0,27,17,10,2,0,0.14,0.01,-0.26580761838249267,-0.7446125527817751,0.9805138478824769
Harrison Phillips,27,MIN,DL,2023,5,0,1,0,0.5,33,17,16,0,2,0.07,0,-0.42464773072230416,-0.41800416794475465,0.6902529306415853
Christian Rozeboom,26,LAR,LB,2023,5,0,0,0,0,27,17,10,0,0,-0.6,-0.04,-0.7952746595151975,-0.7446125527817751,0.3419398299525158
Cam Taylor-Britt,24,CIN,CB,2023,5,1,3,1,0,21,17,4,0,0,0.38,0.02,-0.7952746595151975,1.2150377562403472,-0.006373270736554274
Leighton Vander Esch,27,DAL,LB,2023,5,0,0,0,0,30,17,13,1,0,-0.33,-0.02,-0.5834878430621155,-0.7446125527817751,0.5160963802970505
Charvarius Ward,27,SFO,CB,2023,5,1,5,0,0,21,17,4,0,0,0.7,0.04,-0.7952746595151975,1.8682545259143881,-0.006373270736554274
Darious Williams,30,JAX,CB,2023,5,2,7,2,0,20,17,3,1,0,1.48,0.09,-0.5834878430621155,3.50129645009949,-0.06442545418473236
Antoine Winfield Jr.,25,TAM,S,2023,4,0,4,2,2,31,17,14,2,3,1.57,0.08,0.925493224166093,0.8884293714033269,1.2707747651233683
Ja'Whaun Bentley,27,NWE,LB,2023,5,0,2,0,1,36,16,20,3,3,0.76,0.05,0.47544623920329393,-0.09139578310773423,0.806357297537942
Lavonte David,33,TAM,LB,2023,4,0,0,0,1,28,16,12,3,1,0.56,0.03,0.5283929433165645,-0.7446125527817751,0.9805138478824769
Grant Delpit,25,CLE,S,2023,4,1,2,0,0,21,16,5,1,1,0.85,0.04,-0.3981743786656689,1.2966898524496024,0.47255724271091676
Rasul Douglas,29,GNB,CB,2023,4,1,4,0,0,18,16,2,1,0,1.05,0.05,-0.5305411389488451,2.1132108145421533,0.25486155478024813
Danielle Hunter,29,MIN,OLB,2023,5,0,1,1,6,25,16,9,9,5,1.65,0.1,3.5463550777729815,-0.41800416794475465,0.1677832796079805
Micah Hyde,33,BUF,S,2023,5,2,2,0,0,23,16,7,0,0,0.73,0.05,-0.7952746595151975,1.8682545259143881,0.05167891271162407
Byron Murphy,25,MIN,CB,2023,5,0,4,0,0,22,16,6,0,0,0.02,0,-0.7952746595151975,0.5618209865663065,-0.006373270736554274
Jeremiah Owusu-Koramoah,24,CLE,LB,2023,4,0,0,0,0,21,16,5,5,0,0.3,0.01,0.5283929433165645,-0.7446125527817751,0.47255724271091676
Isaiah Simmons,25,NYG,S,2023,5,0,0,0,0,20,16,4,1,0,-0.79,-0.05,-0.5834878430621155,-0.7446125527817751,-0.12247763763291071
Geno Stone,24,BAL,S,2023,5,2,2,0,0,23,16,7,0,0,0.73,0.05,-0.7952746595151975,1.8682545259143881,0.05167891271162407
Patrick Surtain II,23,DEN,CB,2023,5,1,6,0,0,18,16,2,0,0,0.75,0.05,-0.7952746595151975,2.1948629107514086,-0.2385820045292674
Devon Witherspoon,23,SEA,CB,2023,3,1,4,0,2,23,16,7,2,3,2.63,0.1,1.4990825187265233,3.0658186036501296,1.5610356823642597
Eli Apple,28,MIA,CB,2023,4,0,3,0,0.5,18,15,3,0,1,0.26,0.01,-0.464357758807257,0.4801688903570514,0.18229632547002528
Julius Brents,23,IND,CB,2023,3,0,1,1,0,17,15,2,0,0,0.09,0,-0.7952746595151975,-0.20026524472007443,0.8837602088021795
Jeremy Chinn,25,CAR,S,2023,5,0,1,0,1,23,15,8,2,1,-0.06,-0,0.051872606297130225,-0.41800416794475465,-0.006373270736554274
Alohi Gilman,26,LAC,S,2023,3,0,1,1,0,22,15,7,0,0,0.36,0.01,-0.7952746595151975,-0.20026524472007443,1.3675284042036655
