Name,Age,Tm,Pos,Season,G,Int,PD,FF,Sk,Comb,Solo,Ast,TFL,QBHits,DefFS,Value,Rush,Coverage,Tackle
Nate Hobbs,24,LVR,CB,2023,3,0,3,0,0,25,15,10,2,1,1.39,0.05,0.08717040903931053,0.8884293714033269,1.6577893214445572
Damontae Kazee,30,PIT,S,2023,5,0,0,0,0,18,15,3,0,0,-1.11,-0.07,-0.7952746595151975,-0.7446125527817751,-0.29663418797744573
Jayron Kearse,29,DAL,S,2023,5,1,3,0,1,21,15,6,2,1,0.74,0.05,0.051872606297130225,1.2150377562403472,-0.12247763763291071
Frankie Luvu,27,CAR,LB,2023,5,0,0,0,2.5,30,15,15,4,4,0.64,0.04,1.269646800902351,-0.7446125527817751,0.3999920134006939
Keanu Neal,28,PIT,S,2023,5,0,1,0,0,24,15,9,1,0,-0.42,-0.03,-0.5834878430621155,-0.41800416794475465,0.05167891271162407
Steven Nelson,30,HOU,CB,2023,5,2,4,0,0,18,15,3,0,0,0.87,0.06,-0.7952746595151975,2.521471295588429,-0.29663418797744573
Ed Oliver,26,BUF,DT,2023,5,0,0,1,4,24,15,9,9,9,1.39,0.09,3.3345682613199,-0.7446125527817751,0.05167891271162407
Isaiah Oliver,27,SFO,CB,2023,5,1,1,0,0,25,15,10,0,0,0.09,0.01,-0.7952746595151975,0.5618209865663065,0.10973109615980242
Adrian Amos,30,NYJ,S,2023,5,0,1,0,0,16,14,2,0,0,-0.98,-0.06,-0.7952746595151975,-0.41800416794475465,-0.47079073832198054
Will Anderson,22,HOU,DE,2023,5,0,0,0,1,21,14,7,2,6,-0.04,-0,0.581339647429835,-0.7446125527817751,-0.18052982108108906
Derrick Barnes,24,DET,LB,2023,5,0,0,0,1,28,14,14,2,1,-0.11,-0.01,0.051872606297130225,-0.7446125527817751,0.2258354630561591
DaRon Bland,24,DAL,CB,2023,5,3,5,0,0,18,14,4,1,1,1.53,0.1,-0.4775944348355746,3.82790483493651,-0.3546863714256238
Leo Chenal,23,KAN,LB,2023,5,0,0,0,1,21,14,7,3,2,-0.17,-0.01,0.3695528309767531,-0.7446125527817751,-0.18052982108108906
Bradley Chubb,27,MIA,LB,2023,5,0,0,1,1,21,14,7,4,5,0.14,0.01,0.8990198721094579,-0.7446125527817751,-0.18052982108108906
Maxx Crosby,26,LVR,DE,2023,4,0,0,0,4,23,14,9,4,6,1.28,0.06,2.646261107847384,-0.7446125527817751,0.47255724271091676
Christian Gonzalez,21,NWE,CB,2023,4,1,3,0,1,17,14,3,1,1,1.01,0.05,-0.0010740978161403042,1.7049503334958778,0.03716586684957955
Jonathan Greenard,26,HOU,DE,2023,5,0,1,0,3,19,14,5,6,4,0.74,0.05,1.8520605461483266,-0.41800416794475465,-0.29663418797744573
Kamu Grugier-Hill,29,CAR,LB,2023,5,1,1,0,1,20,14,6,1,1,0.25,0.02,-0.15991421015595175,0.5618209865663065,-0.2385820045292674
Christian Izien,23,TAM,S,2023,4,2,2,0,0,21,14,7,1,0,1.26,0.06,-0.5305411389488451,2.521471295588429,0.327426784090471
Dane Jackson,27,BUF,CB,2023,5,0,1,1,0,16,14,2,0,0,-0.98,-0.06,-0.7952746595151975,-0.41800416794475465,-0.47079073832198054
Khalil Mack,32,LAC,OLB,2023,4,0,2,2,6,19,14,5,5,6,1.89,0.1,3.7051951901127933,0.07190840931077593,0.18229632547002528
Justin Simmons,30,DEN,S,2023,3,0,0,0,0,19,14,5,0,0,-0.17,-0.01,-0.7952746595151975,-0.7446125527817751,0.9805138478824769
Terell Smith,24,CHI,DB,2023,5,0,2,1,0,21,14,7,2,0,-0.22,-0.01,-0.37170102660903365,-0.09139578310773423,-0.18052982108108906
Montez Sweat,27,WAS,DE,2023,5,0,1,2,4.5,19,14,5,6,9,1.19,0.08,2.858047924300466,-0.41800416794475465,-0.29663418797744573
Rodney Thomas II,25,IND,S,2023,5,0,1,0,0,17,14,3,0,0,-0.93,-0.06,-0.7952746595151975,-0.41800416794475465,-0.4127385548738022
Andrew Van Ginkel,28,MIA,LB,2023,5,0,2,0,4,22,14,8,6,7,1.24,0.08,2.4874209955075726,-0.09139578310773423,-0.12247763763291071
Devin White,25,TAM,LB,2023,4,1,2,0,0,26,14,12,1,1,0.94,0.05,-0.3981743786656689,1.2966898524496024,0.6902529306415853
Tony Adams,24,NYJ,S,2023,3,0,0,0,0,15,13,2,0,0,-0.49,-0.02,-0.7952746595151975,-0.7446125527817751,0.49674565248099123
DeAundre Alford,26,ATL,CB,2023,5,0,3,0,0,19,13,6,2,0,-0.13,-0.01,-0.37170102660903365,0.2352126017292861,-0.3546863714256238
Deonte Banks,22,NYG,CB,2023,5,0,4,0,0,15,13,2,1,0,-0.2,-0.01,-0.5834878430621155,0.5618209865663065,-0.5868951052183372
Krys Barnes,25,ARI,LB,2023,5,0,3,0,0,16,13,3,1,0,-0.37,-0.02,-0.5834878430621155,0.2352126017292861,-0.5288429217701589
Jakorian Bennett,23,LVR,CB,2023,4,0,2,0,0,19,13,6,0,0,-0.2,-0.01,-0.7952746595151975,0.07190840931077593,0.10973109615980242
Jaquan Brisker,24,CHI,DB,2023,5,0,2,0,0,29,13,16,0,1,-0.17,-0.01,-0.6893812512886566,-0.09139578310773423,0.2258354630561591
Jack Campbell,23,DET,LB,2023,5,0,1,0,1,19,13,6,2,1,-0.27,-0.02,0.051872606297130225,-0.41800416794475465,-0.3546863714256238
Jonathon Cooper,25,DEN,OLB,2023,5,0,0,1,3,27,13,14,2,3,0.3,0.02,0.8990198721094579,-0.7446125527817751,0.10973109615980242
Ronald Darby,29,BAL,CB,2023,5,0,4,0,0,15,13,2,1,0,-0.2,-0.01,-0.5834878430621155,0.5618209865663065,-0.5868951052183372
Jamel Dean,27,TAM,CB,2023,3,0,0,0,0,16,13,3,0,0,-0.42,-0.02,-0.7952746595151975,-0.7446125527817751,0.593499291561288
Cobie Durant,25,LAR,DB,2023,5,0,2,0,0,20,13,7,0,1,-0.51,-0.03,-0.6893812512886566,-0.09139578310773423,-0.29663418797744573
Sauce Gardner,23,NYJ,CB,2023,5,0,3,1,0,20,13,7,0,0,-0.36,-0.02,-0.7952746595151975,0.2352126017292861,-0.29663418797744573
Christian Harris,22,HOU,LB,2023,4,0,0,0,1,23,13,10,0,1,-0.2,-0.01,-0.26580761838249267,-0.7446125527817751,0.3999920134006939
Talanoa Hufanga,23,SFO,S,2023,5,2,2,0,0,17,13,4,1,0,0.58,0.04,-0.5834878430621155,1.8682545259143881,-0.47079073832198054
Adoree' Jackson,28,NYG,CB,2023,5,0,2,0,0,17,13,4,0,0,-0.71,-0.05,-0.7952746595151975,-0.09139578310773423,-0.47079073832198054
Jermaine Johnson II,24,NYJ,LB,2023,5,0,0,1,2,16,13,3,4,2,-0.06,-0,0.8990198721094579,-0.7446125527817751,-0.5288429217701589
Kerby Joseph,23,DET,S,2023,3,0,1,0,0,17,13,4,0,0,-0.02,-0,-0.7952746595151975,-0.20026524472007443,0.6902529306415853
Nathan Landman,25,ATL,LB,2023,5,0,0,0,0,22,13,9,1,1,-0.75,-0.05,-0.4775944348355746,-0.7446125527817751,-0.18052982108108906
Isaiah McDuffie,24,GNB,LB,2023,4,0,0,0,0,19,13,6,0,1,-0.67,-0.03,-0.6629078992320213,-0.7446125527817751,0.10973109615980242
Elijah Molden,24,TEN,CB,2023,4,0,1,0,0,20,13,7,1,0,-0.25,-0.01,-0.5305411389488451,-0.3363520717354995,0.18229632547002528
Denzel Perryman,31,HOU,MLB,2023,3,0,0,0,0,22,13,9,1,0,0.15,0.01,-0.4422966320933943,-0.7446125527817751,1.1740211260430709
Marcus Peters,30,LVR,CB,2023,4,0,1,0,0,16,13,3,1,0,-0.44,-0.02,-0.5305411389488451,-0.3363520717354995,-0.10796459177086619
Jordan Poyer,32,BUF,S,2023,4,0,0,0,0,19,13,6,0,0,-0.77,-0.04,-0.7952746595151975,-0.7446125527817751,0.10973109615980242
Zach Sieler,28,MIA,DT,2023,5,0,0,0,3,20,13,7,5,6,0.58,0.04,1.8520605461483266,-0.7446125527817751,-0.29663418797744573
AJ Terrell,25,ATL,CB,2023,5,0,2,0,0,16,13,3,2,0,-0.45,-0.03,-0.37170102660903365,-0.09139578310773423,-0.5288429217701589
Russ Yeast,24,LAR,DB,2023,5,0,1,0,0,24,13,11,0,0,-0.65,-0.04,-0.7952746595151975,-0.41800416794475465,-0.06442545418473236
Josh Allen,26,JAX,OLB,2023,5,0,0,1,6,17,12,5,5,9,1.06,0.07,3.1227814448668183,-0.7446125527817751,-0.5288429217701589
Grayland Arnold,26,HOU,S,2023,5,0,0,1,0,16,12,4,1,0,-1.18,-0.07,-0.5834878430621155,-0.7446125527817751,-0.5868951052183372
Chidobe Awuzie,28,CIN,CB,2023,4,0,1,0,0,14,12,2,0,0,-0.79,-0.04,-0.7952746595151975,-0.3363520717354995,-0.32566027970153477
Markquese Bell,24,DAL,S,2023,5,0,0,1,0,20,12,8,1,0,-0.97,-0.06,-0.5834878430621155,-0.7446125527817751,-0.3546863714256238
Nik Bonitto,24,DEN,OLB,2023,5,0,0,1,5.5,15,12,3,8,7,1.12,0.07,3.3875149654331707,-0.7446125527817751,-0.6449472886665153
De'Vondre Campbell,30,GNB,LB,2023,3,0,0,0,0,22,12,10,0,0,-0.11,-0,-0.7952746595151975,-0.7446125527817751,1.077267486962774
Michael Carter,24,NYJ,CB,2023,5,0,2,0,0,19,12,7,0,0,-0.67,-0.04,-0.7952746595151975,-0.09139578310773423,-0.4127385548738022
Samson Ebukam,28,IND,DE,2023,5,0,0,1,3,16,12,4,4,6,0.32,0.02,1.6402737296952445,-0.7446125527817751,-0.5868951052183372
Marcus Epps,27,LVR,S,2023,4,0,0,0,0,19,12,7,2,0,-0.44,-0.02,-0.26580761838249267,-0.7446125527817751,0.03716586684957955
Sam Franklin,27,CAR,S,2023,5,1,2,0,0,18,12,6,0,0,-0.06,-0,-0.7952746595151975,0.8884293714033269,-0.47079073832198054
Dennis Gardeck,29,ARI,OLB,2023,5,0,0,1,4,16,12,4,5,6,0.59,0.04,2.169740770827949,-0.7446125527817751,-0.5868951052183372
C.J. Gardner-Johnson,26,DET,DB,2023,2,0,2,0,0,13,12,1,0,0,0.91,0.02,-0.7952746595151975,0.8884293714033269,1.4159052237438141
Mike Hilton,29,CIN,CB,2023,5,0,2,0,0,18,12,6,0,0,-0.71,-0.05,-0.7952746595151975,-0.09139578310773423,-0.47079073832198054
Malik Hooker,27,DAL,S,2023,5,1,2,0,0,21,12,9,0,0,0.04,0,-0.7952746595151975,0.8884293714033269,-0.29663418797744573
Aidan Hutchinson,23,DET,DL,2023,5,1,4,1,4.5,15,12,3,4,8,1.62,0.1,2.3285808831677612,1.5416461410773674,-0.6449472886665153
Josh Jobe,25,PHI,CB,2023,5,0,2,1,0,13,12,1,0,0,-0.95,-0.06,-0.7952746595151975,-0.09139578310773423,-0.761051655562872
Taron Johnson,27,BUF,CB,2023,5,0,1,2,0,16,12,4,0,1,-0.98,-0.06,-0.6893812512886566,-0.41800416794475465,-0.5868951052183372
Zyon McCollum,24,TAM,CB,2023,4,0,3,0,0,15,12,3,0,0,-0.18,-0.01,-0.7952746595151975,0.4801688903570514,-0.2530950503913119
Jack Sanborn,23,CHI,LB,2023,5,1,1,0,0,21,12,9,0,0,-0.15,-0.01,-0.7952746595151975,0.5618209865663065,-0.29663418797744573
Preston Smith,31,GNB,LB,2023,4,0,0,0,0,17,12,5,0,2,-0.73,-0.04,-0.5305411389488451,-0.7446125527817751,-0.10796459177086619
Grover Stewart,30,IND,DT,2023,5,0,0,0,0,18,12,6,2,4,-0.57,-0.04,0.051872606297130225,-0.7446125527817751,-0.47079073832198054
Greg Stroman,27,CHI,DB,2023,4,1,1,0,1,19,12,7,3,1,0.88,0.04,0.5283929433165645,0.8884293714033269,0.03716586684957955
Cameron Sutton,28,DET,CB,2023,5,0,0,0,0,16,12,4,1,0,-1.18,-0.07,-0.5834878430621155,-0.7446125527817751,-0.5868951052183372
Ambry Thomas,24,SFO,CB,2023,4,0,1,0,0,15,12,3,0,0,-0.73,-0.04,-0.7952746595151975,-0.3363520717354995,-0.2530950503913119
Tuli Tuipulotu,21,LAC,OLB,2023,4,0,0,0,2,17,12,5,4,5,0.61,0.03,1.7196937858651504,-0.7446125527817751,-0.10796459177086619
Anthony Walker,28,CLE,LB,2023,4,0,1,0,0,19,12,7,0,2,-0.34,-0.02,-0.5305411389488451,-0.3363520717354995,0.03716586684957955
Jimmie Ward,32,HOU,S,2023,3,0,1,1,0,18,12,6,0,0,-0.02,-0,-0.7952746595151975,-0.20026524472007443,0.6902529306415853
T.J. Watt,29,PIT,LB,2023,5,0,4,2,8,15,12,3,7,15,2.17,0.14,4.817075976491473,0.5618209865663065,-0.6449472886665153
Quinnen Williams,26,NYJ,DL,2023,5,0,1,0,0.5,17,12,5,3,6,-0.02,-0,0.6342863515431055,-0.41800416794475465,-0.5288429217701589
DeForest Buckner,29,IND,DT,2023,5,0,0,1,2,21,11,10,3,4,0.04,0,0.8990198721094579,-0.7446125527817751,-0.3546863714256238
Brian Burns,25,CAR,OLB,2023,5,0,0,1,4,18,11,7,6,8,0.82,0.05,2.5933144037341136,-0.7446125527817751,-0.5288429217701589
Bryan Cook,24,KAN,S,2023,5,0,1,0,0,18,11,7,1,0,-0.85,-0.05,-0.5834878430621155,-0.41800416794475465,-0.5288429217701589
Michael Danna,26,KAN,DE,2023,5,0,2,0,3.5,18,11,7,3,5,0.6,0.04,1.4814336173554332,-0.09139578310773423,-0.5288429217701589
Aaron Donald,32,LAR,DT,2023,5,0,0,0,2.5,20,11,9,5,6,0.44,0.03,1.6932204338085153,-0.7446125527817751,-0.4127385548738022
Kingsley Enagbare,23,GNB,LB,2023,4,0,1,0,0,14,11,3,1,1,-0.55,-0.03,-0.3981743786656689,-0.3363520717354995,-0.39822550901175763
Dallis Flowers,26,IND,CB,2023,4,0,3,0,0,15,11,4,1,0,-0.06,-0,-0.5305411389488451,0.4801688903570514,-0.32566027970153477
Tre Flowers,28,ATL,CB,2023,5,0,2,0,0,15,11,4,0,0,-0.9,-0.06,-0.7952746595151975,-0.09139578310773423,-0.7029994721146936
Kendall Fuller,28,WAS,CB,2023,5,1,4,0,0,23,11,12,0,0,0.43,0.03,-0.7952746595151975,1.5416461410773674,-0.2385820045292674
Willie Gay Jr.,25,KAN,LB,2023,5,0,1,0,0,17,11,6,0,2,-0.9,-0.06,-0.5834878430621155,-0.41800416794475465,-0.5868951052183372
Shaquill Griffin,28,HOU,CB,2023,4,0,3,0,0,14,11,3,0,0,-0.27,-0.01,-0.7952746595151975,0.4801688903570514,-0.39822550901175763
Jonathan Harris,27,DEN,DL,2023,5,0,0,0,0,21,11,10,1,1,-0.89,-0.06,-0.4775944348355746,-0.7446125527817751,-0.3546863714256238
Josey Jewell,29,DEN,LB,2023,4,0,1,0,0,24,11,13,0,0,-0.33,-0.02,-0.7952746595151975,-0.3363520717354995,0.327426784090471
Dexter Lawrence,26,NYG,DL,2023,5,0,0,0,0,19,11,8,1,5,-0.65,-0.04,-0.05402080192941083,-0.7446125527817751,-0.47079073832198054
Shaquille Leonard,28,IND,LB,2023,4,0,0,0,0,21,11,10,1,0,-0.57,-0.03,-0.5305411389488451,-0.7446125527817751,0.10973109615980242
Tyrann Mathieu,31,NOR,S,2023,5,1,2,0,0,19,11,8,0,0,-0.06,-0,-0.7952746595151975,0.8884293714033269,-0.47079073832198054
Marcus Maye,30,NOR,S,2023,2,1,1,0,1,13,11,2,0,0,1.83,0.05,-0.0010740978161403042,2.521471295588429,1.2707747651233683
Keisean Nixon,26,GNB,CB,2023,4,0,1,0,0,15,11,4,1,0,-0.59,-0.03,-0.5305411389488451,-0.3363520717354995,-0.32566027970153477
Daron Payne,26,WAS,DT,2023,5,0,3,1,1,15,11,4,5,6,0.55,0.03,1.2167000967890806,0.2352126017292861,-0.7029994721146936
Jalen Pitre,24,HOU,S,2023,3,0,1,1,0,15,11,4,0,1,-0.14,-0.01,-0.618785645804296,-0.20026524472007443,0.3032383743203966
Jarran Reed,31,SEA,DE,2023,4,0,1,0,2,16,11,5,2,6,0.54,0.03,1.3225935050156217,-0.3363520717354995,-0.2530950503913119
Shaun Wade,25,NWE,CB,2023,4,0,1,0,0,11,11,0,0,0,-1.03,-0.05,-0.7952746595151975,-0.3363520717354995,-0.6159211969424262
Tracy Walker,28,DET,S,2023,5,0,1,1,0,16,11,5,0,0,-1.13,-0.07,-0.7952746595151975,-0.41800416794475465,-0.6449472886665153
Denzel Ward,26,CLE,CB,2023,4,0,5,1,0,13,11,2,1,0,0.32,0.02,-0.5305411389488451,1.2966898524496024,-0.47079073832198054
Donovan Wilson,28,DAL,S,2023,3,0,0,0,0,17,11,6,1,0,-0.25,-0.01,-0.4422966320933943,-0.7446125527817751,0.49674565248099123
Byron Young,25,LAR,OLB,2023,5,0,0,0,2,18,11,7,0,9,-0.12,-0.01,0.7931264638829169,-0.7446125527817751,-0.5288429217701589
Justin Bethel,33,MIA,CB,2023,5,0,1,0,0.5,14,10,4,2,1,-0.7,-0.04,-0.10696750604268124,-0.41800416794475465,-0.8191038390110503
Terrell Edmunds,26,PHI,S,2023,5,0,0,1,0,15,10,5,0,0,-1.59,-0.1,-0.7952746595151975,-0.7446125527817751,-0.761051655562872
Carl Granderson,27,NOR,DE,2023,5,0,0,1,3.5,17,10,7,5,8,0.59,0.04,2.22268747494122,-0.7446125527817751,-0.6449472886665153
Tre Hawkins,23,NYG,CB,2023,5,0,0,0,0,16,10,6,0,0,-1.52,-0.1,-0.7952746595151975,-0.7446125527817751,-0.7029994721146936
Alex Highsmith,26,PIT,LB,2023,5,1,1,2,2,19,10,9,2,7,0.69,0.04,1.0049132803359988,0.5618209865663065,-0.5288429217701589
Michael Hoecht,26,LAR,OLB,2023,5,0,1,0,0.5,25,10,15,1,1,-0.4,-0.03,-0.3187543224957632,-0.41800416794475465,-0.18052982108108906
Donte Jackson,28,CAR,CB,2023,4,0,0,0,0,11,10,1,1,0,-1.23,-0.06,-0.5305411389488451,-0.7446125527817751,-0.6884864262526491
Matt Judon,31,NWE,LB,2023,4,0,0,0,4,13,10,3,5,9,1.13,0.06,3.3080949092632648,-0.7446125527817751,-0.5433559676322034
Uchenna Nwosu,27,SEA,LB,2023,4,0,0,2,2,13,10,3,4,4,0.32,0.02,1.5873270255819742,-0.7446125527817751,-0.5433559676322034
Micah Parsons,24,DAL,LB,2023,5,0,1,1,4,18,10,8,6,8,0.94,0.06,2.5933144037341136,-0.41800416794475465,-0.5868951052183372
Patrick Peterson,33,PIT,CB,2023,5,1,6,0,0,15,10,5,0,0,0.49,0.03,-0.7952746595151975,2.1948629107514086,-0.761051655562872
Josh Sweat,26,PHI,DE,2023,5,0,1,2,2.5,15,10,5,1,9,0.15,0.01,1.1637533926758103,-0.41800416794475465,-0.761051655562872
Tavierre Thomas,27,HOU,CB,2023,2,0,0,1,0,13,10,3,1,0,0.22,0.01,-0.26580761838249267,-0.7446125527817751,1.1256443065029225
Travon Walker,23,JAX,OLB,2023,5,0,0,0,2,15,10,5,4,4,-0.07,-0,1.1108066885625396,-0.7446125527817751,-0.761051655562872
Tre'Davious White,28,BUF,CB,2023,4,1,2,0,0,12,10,2,1,1,0.31,0.02,-0.3981743786656689,1.2966898524496024,-0.6159211969424262
Isaac Yiadom,27,NOR,CB,2023,5,1,7,0,0,14,10,4,0,0,0.63,0.04,-0.7952746595151975,2.521471295588429,-0.8191038390110503
Zach Allen,26,DEN,DE,2023,5,0,0,1,1.5,23,9,14,4,8,0.31,0.02,1.375540209128892,-0.7446125527817751,-0.3546863714256238
Denico Autry,33,TEN,DL,2023,5,0,0,1,4,16,9,7,3,9,0.45,0.03,2.063847362601409,-0.7446125527817751,-0.761051655562872
Mekhi Blackmon,24,MIN,CB,2023,5,0,1,0,0,11,9,2,0,0,-1.55,-0.1,-0.7952746595151975,-0.41800416794475465,-1.0513125728037633
Nick Bolton,23,KAN,LB,2023,2,0,0,0,0,15,9,6,0,0,0,0,-0.7952746595151975,-0.7446125527817751,1.2707747651233683
Tre Brown,26,SEA,CB,2023,3,1,2,1,1,10,9,1,1,1,1.07,0.04,0.2636594227502121,1.9771239875267284,-0.37403709924168344
Coby Bryant,24,SEA,CB,2023,2,0,0,0,0,11,9,2,0,1,-0.19,-0,-0.5305411389488451,-0.7446125527817751,0.6902529306415853
Blake Cashman,27,HOU,LB,2023,4,1,2,0,0,17,9,8,2,1,0.59,0.03,-0.1334408580993165,1.2966898524496024,-0.32566027970153477
Zaven Collins,24,ARI,LB,2023,5,1,1,0,2.5,12,9,3,2,3,0.32,0.02,0.7401797597696463,0.5618209865663065,-0.9932603893555851
Quandre Diggs,30,SEA,FS,2023,4,1,1,0,0,14,9,5,0,0,-0.1,-0.01,-0.7952746595151975,0.8884293714033269,-0.5433559676322034
Victor Dimukeje,24,ARI,OLB,2023,5,0,0,1,2.5,14,9,5,3,4,-0.17,-0.01,1.0578599844492693,-0.7446125527817751,-0.8771560224592286
Justin Evans,28,PHI,S,2023,4,0,2,1,0,15,9,6,0,0,-0.59,-0.03,-0.7952746595151975,0.07190840931077593,-0.47079073832198054
Will Harris,28,DET,CB,2023,5,0,1,0,0,12,9,3,1,1,-1.16,-0.07,-0.4775944348355746,-0.41800416794475465,-0.9932603893555851
Trey Hendrickson,29,CIN,DE,2023,5,0,2,1,6,17,9,8,5,7,1.17,0.07,2.9109946284137362,-0.09139578310773423,-0.7029994721146936
Tre Herndon,27,JAX,CB,2023,5,0,3,1,0,15,9,6,0,2,-0.57,-0.04,-0.5834878430621155,0.2352126017292861,-0.8191038390110503
Elijah Hicks,24,CHI,DB,2023,5,0,1,0,0,16,9,7,0,0,-1.24,-0.08,-0.7952746595151975,-0.41800416794475465,-0.761051655562872
