AwayTeam,HomeTeam,Spread,OU,AwayPen,AwayPassFS,AwayRushFS,AwayOffFS,AwayDefPassFS,AwayDefRushFS,AwayDefFS,AwayFloTeam,AwayQBFS,AwayRBFS,AwayWRFS,AwayDEFFS,AwayFloPlayer,AwayFloSched,HomePen,HomePassFS,HomeRushFS,HomeOffFS,HomeDefPassFS,HomeDefRushFS,HomeDefFS,HomeFloTeam,HomeQBFS,HomeRBFS,HomeWRFS,HomeDEFFS,HomeFloPlayer,HomeFloSched,PlayDiff,TeamDiff,SchedDiff,gameID,currFloDiff,winprob,predPD,actodds,newodds,BookWin,FloWin,FloSpread,SpWinnings,OUWinnings,WLWinnings,predOU,FloOU
JAX,BUF,-5,48.5,2.24,-0.08,-0.74,-0.41,0.28,0.84,0.56,0.55,-0.32,-0.67,0.25,1.09,0.51,0.5,1.4,0.73,1.37,1.05,1.71,0.93,1.32,0.8,0.9,0.86,0.39,0.57,0.67,0.82,-0.16000000000000003,-0.25,-0.31999999999999995,JAXBUF20235,-0.1825,0.3175,-11.125,-250,-300,BUF,BUF,-5,0.91,0.91,0.33,36.56,Under
BAL,PIT,4.5,38,-0.49,0.11,1.11,0.61,0.84,1.02,0.93,0.67,0.53,0.6,-0.31,-0.23,0.56,0.67,1.4,-0.66,-0.92,-0.79,-0.16,1.47,0.65,0.49,-0.89,-0.93,-0.47,0.05,0.36,0.36,0.20000000000000007,0.18000000000000005,0.31000000000000005,BALPIT20235,0.17250000000000004,0.6725000000000001,6.625000000000002,180,220,BAL,BAL,-4.5,0.91,0.91,0.42,33.44,Under
CAR,DET,-9,44,-1.75,-0.24,-0.88,-0.56,0.68,-1.58,-0.45,0.34,0.27,-0.56,-0.49,-0.09,0.5,0.34,-0.07,0.25,0.86,0.55,0.24,0.16,0.2,0.59,0.17,0.19,-0.24,0.04,0.52,0.61,-0.020000000000000018,-0.24999999999999994,-0.26999999999999996,CARDET20235,-0.13499999999999998,0.365,-8.75,-500,-520,DET,DET,9,0.91,0.91,0.19,45.44,Over
HOU,ATL,-2,42,-0.49,1.49,-0.91,0.29,0.85,-1.04,-0.1,0.56,0.89,-1.35,0.16,-0.96,0.5,0.61,1.4,-0.69,0.09,-0.3,0.16,0.86,0.51,0.52,-0.88,0.31,-0.43,-1.59,0.31,0.42,0.19,0.040000000000000036,0.19,HOUATL20235,0.10500000000000001,0.605,3.250000000000001,-140,-140,ATL,HOU,2,0.91,0.91,1.2,41.48,Under
NOR,NWE,-1,39,0.35,-0.99,-0.46,-0.72,0.71,0.52,0.61,0.46,-0.85,-0.04,2.25,-1.05,0.38,0.44,0.35,-0.43,-0.73,-0.58,0.18,0.02,0.1,0.44,-0.65,-1,-1.21,-0.77,0.33,0.36,0.04999999999999999,0.020000000000000018,0.08000000000000002,NORNWE20235,0.037500000000000006,0.5375,-0.12499999999999978,-110,-110,NWE,NWE,1,0.91,0.91,0.91,31.939999999999998,Under
NYG,MIA,-12.5,47.5,-0.28,-1.86,-0.63,-1.24,-0.18,-1.82,-1,0.17,-1.98,0.03,-1,-1.63,0.16,0.25,-0.07,2,2.88,2.44,-0.66,-0.84,-0.75,0.75,1.65,3.9,1.12,0.84,0.88,0.61,-0.72,-0.58,-0.36,NYGMIA20235,-0.4149999999999999,0.08500000000000008,-22.749999999999996,-750,-710,MIA,MIA,-12.5,0.91,0.91,0.14,61.7,Over
TEN,IND,2.5,43,-0.07,-0.95,-0.09,-0.52,-0.43,1.18,0.37,0.46,-1.65,0,-1.24,0.99,0.35,0.47,-0.07,0.29,0.27,0.28,-0.15,-0.01,-0.08,0.53,0.16,-0.09,-0.83,0.93,0.56,0.49,-0.21000000000000008,-0.07,-0.020000000000000018,TENIND20235,-0.07500000000000002,0.425,-5.750000000000002,120,110,TEN,IND,2.5,0.91,0.91,1.1,40.82,Under
CIN,ARI,3,45,0.98,-0.48,-0.51,-0.5,0.31,-0.21,0.05,0.44,-0.82,-0.48,-0.2,1.1,0.46,0.25,-1.75,0.49,0.45,0.47,0.19,-1.64,-0.72,0.45,0.5,0.87,-0.72,-0.18,0.56,0.47,-0.10000000000000003,-0.010000000000000009,-0.21999999999999997,CINARI20235,-0.0825,0.4175,-6.125,140,140,CIN,ARI,3,0.91,0.91,1.4,47.84,Over
PHI,LAR,4,50.5,-0.07,-0.21,0.87,0.33,-1.13,1.38,0.12,0.56,-0.23,0.37,0.56,-0.24,0.48,0.64,0.14,-1.47,1.11,-0.18,0.27,-0.86,-0.3,0.39,-1.38,0.62,1.64,-1.48,0.31,0.59,0.16999999999999998,0.17000000000000004,0.050000000000000044,PHILAR20235,0.09750000000000002,0.5975,2.875000000000001,180,200,PHI,PHI,4,0.91,0.91,0.45,45.980000000000004,Under
KAN,MIN,3.5,52.5,0.56,-0.14,-0.19,-0.17,0.07,1.06,0.56,0.55,0.17,0.63,-0.94,-1.34,0.44,0.65,0.98,1.42,-1.74,-0.16,-1,0.82,-0.09,0.55,1.1,-0.65,1.11,1,0.68,0.47,-0.24000000000000005,0,0.18000000000000005,KANMIN20235,-0.015,0.485,-2.75,160,170,KAN,MIN,3.5,0.91,0.91,1.7,39.2,Under
NYJ,DEN,-2.5,43.5,1.82,-0.6,-0.94,-0.77,0.75,0.69,0.72,0.5,-0.89,-0.54,-1,-0.69,0.32,0.43,-1.54,1.2,-0.79,0.21,-2.85,-2.24,-2.55,0.26,1.48,-0.06,-0.58,-0.18,0.64,0.36,-0.32,0.24,0.07,NYJDEN20235,-0.0025000000000000022,0.4975,-2.125,-140,-160,DEN,DEN,2.5,0.91,0.91,0.62,51.62,Over
DAL,SFO,-3.5,45,-0.7,0.29,0.23,0.26,1.38,0.87,1.12,0.66,0.07,-0.5,-0.83,-0.12,0.47,0.74,-0.28,0.97,1.89,1.43,0.96,0.02,0.49,0.74,1.71,1.4,1.3,0.71,0.8,0.74,-0.33000000000000007,-0.07999999999999996,0,DALSFO20235,-0.10250000000000001,0.39749999999999996,-7.125,-180,-220,SFO,SFO,-3.5,0.91,0.91,0.45,44.48,Under
GNB,LVR,-2,44.5,-1.12,0.43,-0.3,0.06,0.46,-1.06,-0.3,0.47,0.36,-0.36,-0.3,-1.81,0.41,0.5,-0.49,-1.41,-0.66,-1.04,-0.85,-0.8,-0.83,0.24,-1.53,-1.52,2.33,0.54,0.36,0.39,0.04999999999999999,0.22999999999999998,0.10999999999999999,GNBLVR20235,0.09749999999999999,0.5975,2.874999999999999,-135,-140,LVR,GNB,2,0.91,0.91,1.2,44.900000000000006,Over
