Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
Yegor Sharangovich,25,CGY,67,0.105,0.26,West,Metropolitan
Chris Tanev,34,CGY,64,0.642,1.52,West,Metropolitan
MacKenzie Weegar,30,CGY,71,0.994,2.61,West,Metropolitan
Nikita Zadorov,28,CGY,70,0.253,0.66,West,Metropolitan
Sebastian Aho,27,NYI,72,1.449,3.86,East,Metro
Mathew Barzal,26,NYI,63,0.35,0.82,East,Metro
Casey Cizikas,32,NYI,64,-0.632,-1.5,East,Metro
Cal Clutterbuck,36,NYI,51,-0.678,-1.28,East,Metro
Noah Dobson,24,NYI,69,-0.04,-0.1,East,Metro
Pierre Engvall,27,NYI,68,0.028,0.07,East,Metro
Hudson Fasching,28,NYI,50,-0.414,-0.77,East,Metro
Julien Gauthier,26,NYI,57,-0.4,-0.84,East,Metro
Bo Horvat,28,NYI,71,0.966,2.54,East,Metro
Ross Johnston,29,NYI,40,-0.738,-1.09,East,Metro
Karson Kuhlman,28,NYI,51,-0.71,-1.34,East,Metro
Anders Lee,33,NYI,68,0.526,1.32,East,Metro
Matt Martin,34,NYI,63,-0.777,-1.81,East,Metro
Scott Mayfield,31,NYI,65,-0.216,-0.52,East,Metro
Brock Nelson,32,NYI,70,1.064,2.76,East,Metro
Jean-Gabriel Pageau,31,NYI,63,-0.057,-0.13,East,Metro
Kyle Palmieri,32,NYI,59,0.056,0.12,East,Metro
Adam Pelech,29,NYI,64,0.7,1.66,East,Metro
Ryan Pulock,29,NYI,66,0.019,0.05,East,Metro
Alexander Romanov,24,NYI,69,0.16,0.41,East,Metro
Ilya Sorokin,28,NYI,63,1.083,2.53,East,Metro
Semyon Varlamov,35,NYI,44,0.248,0.4,East,Metro
Rasmus Asplund,26,FLA,56,-0.531,-1.1,East,Atlantic
Aleksander Barkov,28,FLA,66,1.408,3.44,East,Atlantic
Sam Bennett,27,FLA,63,0.427,1,East,Atlantic
Sergei Bobrovsky,35,FLA,53,-0.058,-0.11,East,Atlantic
Nick Cousins,30,FLA,64,-0.453,-1.07,East,Atlantic
Aaron Ekblad,27,FLA,61,0.261,0.59,East,Atlantic
Oliver Ekman-Larsson,32,FLA,54,-0.88,-1.76,East,Atlantic
Casey Fitzgerald,26,FLA,46,-0.741,-1.26,East,Atlantic
Gustav Forsling,27,FLA,71,1.125,2.96,East,Atlantic
Jonah Gadjovich,25,FLA,49,-0.606,-1.1,East,Atlantic
Dmitry Kulikov,33,FLA,60,-0.267,-0.59,East,Atlantic
William Lockwood,25,FLA,38,-0.807,-1.14,East,Atlantic
Ryan Lomberg,29,FLA,64,-0.368,-0.87,East,Atlantic
Steven Lorentz,27,FLA,66,-0.477,-1.17,East,Atlantic
Anton Lundell,22,FLA,66,0.305,0.75,East,Atlantic
Eetu Luostarinen,25,FLA,71,0.027,0.07,East,Atlantic
Josh Mahura,25,FLA,67,0.109,0.27,East,Atlantic
Niko Mikkola,27,FLA,66,-0.257,-0.63,East,Atlantic
Brandon Montour,29,FLA,69,0.299,0.76,East,Atlantic
Sam Reinhart,28,FLA,71,0.952,2.5,East,Atlantic
Evan Rodrigues,30,FLA,65,0.004,0.01,East,Atlantic
Anthony Stolarz,30,FLA,42,0.067,0.1,East,Atlantic
Matthew Tkachuk,26,FLA,75,1.865,5.18,East,Atlantic
Carter Verhaeghe,28,FLA,73,0.998,2.7,East,Atlantic
Colin White,27,FLA,57,-0.456,-0.96,East,Atlantic
Tyson Barrie,32,NSH,66,-0.393,-0.96,West,Central
Alexandre Carrier,27,NSH,57,0.383,0.81,West,Central
Dante Fabbro,25,NSH,67,0.154,0.38,West,Central
Denis Gurianov,26,NSH,62,-0.336,-0.77,West,Central
Roman Josi,33,NSH,63,0.3,0.7,West,Central
Kevin Lankinen,28,NSH,46,0.074,0.13,West,Central
Jeremy Lauzon,26,NSH,61,-0.542,-1.22,West,Central
Ryan McDonagh,34,NSH,64,0.411,0.97,West,Central
Thomas Novak,26,NSH,56,0.161,0.33,West,Central
Gustav Nyquist,34,NSH,57,-0.046,-0.1,West,Central
Ryan O'Reilly,32,NSH,58,0.1,0.21,West,Central
Juuse Saros,28,NSH,65,0.764,1.84,West,Central
Luke Schenn,34,NSH,61,0.139,0.31,West,Central
Colton Sissons,30,NSH,67,-0.357,-0.89,West,Central
Yakov Trenin,27,NSH,67,-0.239,-0.59,West,Central
Noel Acciari,32,PIT,57,-0.413,-0.87,East,Metro
Jeff Carter,39,PIT,62,-0.456,-1.05,East,Metro
Sidney Crosby,36,PIT,68,1.085,2.73,East,Metro
Lars Eller,34,PIT,64,-0.507,-1.2,East,Metro
Ryan Graves,28,PIT,71,0.668,1.76,East,Metro
Jake Guentzel,29,PIT,71,1.266,3.33,East,Metro
Vinnie Hinostroza,29,PIT,48,-0.283,-0.5,East,Metro
Tristan Jarry,28,PIT,57,0.538,1.14,East,Metro
Andreas Johnsson,29,PIT,44,-0.469,-0.76,East,Metro
Erik Karlsson,33,PIT,66,0.057,0.14,East,Metro
Kris Letang,36,PIT,58,-0.214,-0.46,East,Metro
Evgeni Malkin,37,PIT,63,0.557,1.3,East,Metro
Alex Nedeljkovic,28,PIT,45,-0.306,-0.51,East,Metro
Drew O'Connor,25,PIT,50,-0.438,-0.81,East,Metro
Marcus Pettersson,27,PIT,66,0.306,0.75,East,Metro
Rem Pitlick,26,PIT,56,-0.14,-0.29,East,Metro
Rickard Rakell,30,PIT,69,0.429,1.1,East,Metro
Chad Ruhwedel,33,PIT,55,-0.308,-0.63,East,Metro
Bryan Rust,31,PIT,66,0.382,0.93,East,Metro
Reilly Smith,32,PIT,66,0.422,1.03,East,Metro
Craig Anderson,42,BUF,41,-0.416,-0.63,East,Atlantic
Jacob Bryson,26,BUF,57,-0.721,-1.52,East,Atlantic
Kale Clague,25,BUF,49,-0.453,-0.82,East,Atlantic
Connor Clifton,28,BUF,66,-0.12,-0.29,East,Atlantic
Eric Comrie,28,BUF,39,-0.134,-0.19,East,Atlantic
Dylan Cozens,22,BUF,74,0.586,1.61,East,Atlantic
Rasmus Dahlin,23,BUF,73,0.546,1.48,East,Atlantic
Zemgus Girgensons,30,BUF,63,-0.434,-1.01,East,Atlantic
Jordan Greenway,26,BUF,59,-0.371,-0.81,East,Atlantic
Erik Johnson,35,BUF,60,0.182,0.4,East,Atlantic
Henri Jokiharju,24,BUF,60,-0.194,-0.43,East,Atlantic
Tyson Jost,25,BUF,65,-0.418,-1.01,East,Atlantic
Peyton Krebs,23,BUF,65,-0.303,-0.73,East,Atlantic
Ukko-Pekka Luukkonen,24,BUF,45,0.064,0.11,East,Atlantic
Ilya Lyubushkin,29,BUF,64,-0.034,-0.08,East,Atlantic
Casey Mittelstadt,25,BUF,66,0.056,0.14,East,Atlantic
Kyle Okposo,35,BUF,62,-0.238,-0.55,East,Atlantic
Victor Olofsson,28,BUF,68,0.577,1.45,East,Atlantic
Mattias Samuelsson,23,BUF,62,0.687,1.58,East,Atlantic
Jeff Skinner,31,BUF,72,1.067,2.85,East,Atlantic
Riley Stillman,25,BUF,54,-0.406,-0.81,East,Atlantic
Tage Thompson,26,BUF,75,1.549,4.3,East,Atlantic
Alex Tuch,27,BUF,69,1.032,2.64,East,Atlantic
Drake Batherson,25,OTT,67,0.575,1.43,East,Atlantic
Thomas Chabot,27,OTT,62,0.115,0.26,East,Atlantic
Jakob Chychrun,25,OTT,59,0.218,0.48,East,Atlantic
Dylan Gambrell,27,OTT,58,-0.647,-1.39,East,Atlantic
Claude Giroux,36,OTT,69,0.645,1.65,East,Atlantic
Travis Hamonic,33,OTT,60,0.106,0.24,East,Atlantic
Mathieu Joseph,26,OTT,59,-0.279,-0.61,East,Atlantic
Mark Kastelic,24,OTT,55,-0.433,-0.88,East,Atlantic
Joonas Korpisalo,29,OTT,50,-0.341,-0.63,East,Atlantic
Zack MacEwen,27,OTT,58,-0.728,-1.56,East,Atlantic
Vladimir Tarasenko,32,OTT,64,0.635,1.51,East,Atlantic
Brady Tkachuk,24,OTT,74,1.034,2.83,East,Atlantic
Artem Zub,28,OTT,61,0.237,0.54,East,Atlantic
Ethan Bear,26,VAN,62,-0.036,-0.08,West,Metropolitan
Anthony Beauvillier,26,VAN,69,0.015,0.04,West,Metropolitan
Teddy Blueger,29,VAN,59,-0.502,-1.1,West,Metropolitan
Brock Boeser,26,VAN,67,0.424,1.05,West,Metropolitan
Ian Cole,34,VAN,66,0.295,0.72,West,Metropolitan
Thatcher Demko,28,VAN,52,0.2,0.39,West,Metropolitan
Sheldon Dries,29,VAN,53,-0.5,-0.98,West,Metropolitan
Conor Garland,27,VAN,69,0.2,0.51,West,Metropolitan
Filip Hronek,26,VAN,67,0.239,0.59,West,Metropolitan
Quinn Hughes,24,VAN,73,0.796,2.15,West,Metropolitan
Matt Irwin,36,VAN,51,-0.448,-0.85,West,Metropolitan
Dakota Joshua,27,VAN,61,-0.342,-0.77,West,Metropolitan
J.T. Miller,30,VAN,71,1.104,2.9,West,Metropolitan
Tyler Myers,33,VAN,64,-0.264,-0.63,West,Metropolitan
Elias Pettersson,25,VAN,75,1.435,3.99,West,Metropolitan
Elias Pettersson,25,VAN,75,1.435,3.99,West,Metropolitan
Vasily Podkolzin,22,VAN,56,-0.243,-0.5,West,Metropolitan
Carson Soucy,29,VAN,67,0.406,1.01,West,Metropolitan
Jack Studnicka,24,VAN,49,-0.801,-1.45,West,Metropolitan
Jordan Binnington,30,STL,55,-0.384,-0.78,West,Central
Sammy Blais,27,STL,57,-0.381,-0.8,West,Central
Robert Bortuzzo,34,STL,55,-0.039,-0.08,West,Central
Pavel Buchnevich,28,STL,67,1.324,3.29,West,Central
Justin Faulk,31,STL,68,0.816,2.06,West,Central
Kevin Hayes,31,STL,64,0.024,0.06,West,Central
Kasperi Kapanen,27,STL,65,-0.006,-0.01,West,Central
Torey Krug,32,STL,57,-0.072,-0.15,West,Central
Jordan Kyrou,25,STL,72,1.048,2.79,West,Central
Nick Leddy,32,STL,66,-0.664,-1.62,West,Central
Colton Parayko,30,STL,66,-0.102,-0.25,West,Central
Brandon Saad,31,STL,65,0.318,0.77,West,Central
Marco Scandella,33,STL,47,0.268,0.47,West,Central
Brayden Schenn,32,STL,66,0.624,1.53,West,Central
Oskar Sundqvist,29,STL,61,-0.213,-0.48,West,Central
Robert Thomas,24,STL,69,0.863,2.21,West,Central
Alexey Toropchenko,24,STL,59,-0.39,-0.85,West,Central
Nathan Walker,29,STL,52,-0.422,-0.81,West,Central
Nicolas Aube-Kubel,27,WSH,58,-0.418,-0.9,East,Metro
John Carlson,34,WSH,54,0.248,0.5,East,Metro
Nic Dowd,33,WSH,60,-0.203,-0.45,East,Metro
Joel Edmundson,30,WSH,50,-0.894,-1.66,East,Metro
Nick Jensen,33,WSH,66,0.438,1.07,East,Metro
Darcy Kuemper,33,WSH,57,0.4,0.84,East,Metro
Evgeny Kuznetsov,31,WSH,67,0.215,0.53,East,Metro
Anthony Mantha,29,WSH,58,-0.124,-0.27,East,Metro
Sonny Milano,27,WSH,62,0.063,0.14,East,Metro
T.J. Oshie,37,WSH,54,-0.099,-0.2,East,Metro
Alex Ovechkin,38,WSH,67,1.469,3.65,East,Metro
Rasmus Sandin,23,WSH,66,0.658,1.61,East,Metro
Dylan Strome,26,WSH,70,0.661,1.71,East,Metro
Trevor van Riemsdyk,32,WSH,66,0.133,0.33,East,Metro
Tom Wilson,29,WSH,55,0.478,0.97,East,Metro
Ben Chiarot,32,DET,60,-1.308,-2.91,East,Atlantic
J.T. Compher,28,DET,69,0.241,0.62,East,Atlantic
Andrew Copp,29,DET,67,0.101,0.25,East,Atlantic
Austin Czarnik,31,DET,42,-0.509,-0.79,East,Atlantic
Alex DeBrincat,26,DET,72,1.001,2.67,East,Atlantic
Christian Fischer,26,DET,65,-0.316,-0.76,East,Atlantic
Shayne Gostisbehere,30,DET,63,-0.798,-1.86,East,Atlantic
Justin Holl,32,DET,66,0.259,0.63,East,Atlantic
Ville Husso,28,DET,55,0.141,0.29,East,Atlantic
Klim Kostin,24,DET,58,-0.17,-0.37,East,Atlantic
Dylan Larkin,27,DET,71,1.001,2.63,East,Atlantic
Matt Luff,26,DET,41,-0.486,-0.74,East,Atlantic
David Perron,35,DET,66,0.476,1.16,East,Atlantic
Lucas Raymond,21,DET,71,0.515,1.35,East,Atlantic
James Reimer,35,DET,48,-0.413,-0.73,East,Atlantic
Moritz Seider,22,DET,71,0.152,0.4,East,Atlantic
Daniel Sprong,26,DET,65,0.312,0.75,East,Atlantic
Joe Veleno,24,DET,67,-0.365,-0.91,East,Atlantic
Jake Walman,27,DET,64,0.711,1.69,East,Atlantic
Kieffer Bellows,25,PHI,47,-0.447,-0.78,East,Metro
Noah Cates,24,PHI,63,0.121,0.28,East,Metro
Nicolas Deslauriers,32,PHI,65,-0.711,-1.71,East,Metro
Joel Farabee,23,PHI,69,0.218,0.56,East,Metro
Morgan Frost,24,PHI,68,-0.03,-0.08,East,Metro
Carter Hart,25,PHI,59,0.218,0.48,East,Metro
Garnet Hathaway,32,PHI,67,-0.294,-0.73,East,Metro
Travis Konecny,26,PHI,67,0.746,1.85,East,Metro
Scott Laughton,29,PHI,66,-0.05,-0.12,East,Metro
Victor Mete,25,PHI,45,-0.095,-0.16,East,Metro
Ryan Poehling,25,PHI,57,-0.357,-0.75,East,Metro
Rasmus Ristolainen,29,PHI,65,-0.037,-0.09,East,Metro
Travis Sanheim,27,PHI,69,0.349,0.89,East,Metro
Nick Seeler,30,PHI,63,0.114,0.27,East,Metro
Marc Staal,37,PHI,65,0.077,0.19,East,Metro
Owen Tippett,24,PHI,69,0.302,0.77,East,Metro
Nick Bjugstad,31,ARI,63,-0.368,-0.86,West,Central
Travis Boyd,30,ARI,67,-0.118,-0.29,West,Central
Josh Brown,30,ARI,58,-0.864,-1.86,West,Central
Lawson Crouse,26,ARI,68,0.531,1.34,West,Central
Travis Dermott,27,ARI,41,-0.465,-0.71,West,Central
Sean Durzi,25,ARI,62,-0.727,-1.67,West,Central
Barrett Hayton,23,ARI,69,0.139,0.36,West,Central
Clayton Keller,25,ARI,73,1.273,3.44,West,Central
Alexander Kerfoot,29,ARI,68,-0.139,-0.35,West,Central
Matias Maccelli,23,ARI,60,0.071,0.16,West,Central
J.J. Moser,23,ARI,65,-0.143,-0.34,West,Central
Liam O'Brien,29,ARI,53,-0.62,-1.22,West,Central
Zach Sanford,29,ARI,46,-0.559,-0.95,West,Central
Nick Schmaltz,27,ARI,64,0.941,2.23,West,Central
Troy Stecher,29,ARI,61,-0.697,-1.57,West,Central
Karel Vejmelka,27,ARI,56,-0.21,-0.44,West,Central
Jason Zucker,32,ARI,63,0.151,0.35,West,Central
Jake Allen,33,MTL,47,-0.459,-0.8,East,Atlantic
Josh Anderson,29,MTL,64,0.181,0.43,East,Atlantic
Joel Armia,30,MTL,53,-0.48,-0.94,East,Atlantic
Kirby Dach,23,MTL,63,0.129,0.3,East,Atlantic
Casey DeSmith,32,MTL,48,0.165,0.29,East,Atlantic
Christian Dvorak,27,MTL,60,-0.121,-0.27,East,Atlantic
Jake Evans,27,MTL,58,-0.313,-0.67,East,Atlantic
Brendan Gallagher,31,MTL,50,-0.361,-0.67,East,Atlantic
Sam Montembeault,27,MTL,51,-0.314,-0.59,East,Atlantic
Alex Newhook,23,MTL,69,0.006,0.02,East,Atlantic
Jeff Petry,36,MTL,59,-0.101,-0.22,East,Atlantic
Michael Pezzetta,25,MTL,59,-0.404,-0.88,East,Atlantic
David Savard,33,MTL,57,-0.72,-1.52,East,Atlantic
Nick Suzuki,24,MTL,73,0.604,1.63,East,Atlantic
Chris Wideman,34,MTL,53,-0.511,-1,East,Atlantic
Alexander Barabanov,29,SJS,64,0.079,0.19,West,Metropolitan
Matt Benning,29,SJS,65,-0.521,-1.25,West,Metropolitan
Mackenzie Blackwood,27,SJS,43,-0.524,-0.83,West,Metropolitan
Kyle Burroughs,28,SJS,53,-0.307,-0.6,West,Metropolitan
Ryan Carpenter,33,SJS,44,-1.015,-1.65,West,Metropolitan
Logan Couture,34,SJS,68,0.386,0.97,West,Metropolitan
Anthony Duclair,28,SJS,48,0.256,0.46,West,Metropolitan
Mario Ferraro,25,SJS,63,-0.203,-0.47,West,Metropolitan
Mikael Granlund,31,SJS,66,-0.168,-0.41,West,Metropolitan
Mike Hoffman,34,SJS,60,-0.24,-0.53,West,Metropolitan
Kevin Labanc,28,SJS,59,-0.194,-0.42,West,Metropolitan
Oskar Lindblom,27,SJS,65,-0.427,-1.03,West,Metropolitan
Jacob Peterson,24,SJS,46,-0.217,-0.37,West,Metropolitan
Jan Rutta,33,SJS,60,0.347,0.77,West,Metropolitan
Givani Smith,25,SJS,49,-0.638,-1.16,West,Metropolitan
Nico Sturm,28,SJS,65,-0.318,-0.77,West,Metropolitan
Evgeny Svechnikov,27,SJS,60,-0.401,-0.89,West,Metropolitan
Filip Zadina,24,SJS,52,-0.386,-0.74,West,Metropolitan
Fabian Zetterlund,24,SJS,56,-0.198,-0.41,West,Metropolitan
Andreas Athanasiou,29,CHI,62,0.165,0.38,West,Central
Anders Bjork,27,CHI,45,-0.321,-0.54,West,Central
Jason Dickinson,28,CHI,64,-0.49,-1.16,West,Central
Nick Foligno,36,CHI,57,-0.56,-1.18,West,Central
Taylor Hall,32,CHI,62,0.14,0.32,West,Central
Reese Johnson,25,CHI,55,-0.641,-1.31,West,Central
Tyler Johnson,33,CHI,52,-0.408,-0.79,West,Central
Caleb Jones,26,CHI,63,0.03,0.07,West,Central
Seth Jones,29,CHI,62,-0.915,-2.1,West,Central
Boris Katchouk,25,CHI,59,-0.517,-1.13,West,Central
Philipp Kurashev,24,CHI,64,-0.364,-0.86,West,Central
Connor Murphy,30,CHI,66,-0.071,-0.17,West,Central
Corey Perry,38,CHI,64,-0.398,-0.94,West,Central
Taylor Raddysh,25,CHI,69,0.121,0.31,West,Central
Nikita Zaitsev,32,CHI,54,-0.142,-0.28,West,Central
Adam Boqvist,23,CBJ,57,0.176,0.37,East,Metro
Johnny Gaudreau,30,CBJ,70,1.028,2.67,East,Metro
Erik Gudbranson,32,CBJ,63,-0.206,-0.48,East,Metro
Boone Jenner,30,CBJ,63,0.437,1.02,East,Metro
Sean Kuraly,31,CBJ,63,-0.354,-0.83,East,Metro
Patrik Laine,25,CBJ,62,1.012,2.32,East,Metro
Carson Meyer,26,CBJ,38,-0.698,-0.98,East,Metro
Andrew Peeke,25,CBJ,67,-0.511,-1.27,East,Metro
Ivan Provorov,27,CBJ,68,-0.383,-0.96,East,Metro
Eric Robinson,28,CBJ,64,-0.222,-0.53,East,Metro
Jack Roslovic,27,CBJ,68,0.187,0.47,East,Metro
Damon Severson,29,CBJ,69,0.056,0.14,East,Metro
Simon Benoit,25,ANA,63,-0.378,-0.88,West,Metropolitan
Sam Carrick,31,ANA,54,-0.648,-1.3,West,Metropolitan
Max Comtois,25,ANA,60,-0.313,-0.7,West,Metropolitan
Cam Fowler,32,ANA,65,-0.363,-0.87,West,Metropolitan
John Gibson,30,ANA,56,-0.171,-0.35,West,Metropolitan
Radko Gudas,33,ANA,66,0.513,1.25,West,Metropolitan
Adam Henrique,33,ANA,60,0.361,0.8,West,Metropolitan
Alex Killorn,34,ANA,70,0.581,1.51,West,Metropolitan
Brett Leason,24,ANA,55,-0.476,-0.97,West,Metropolitan
Brock McGinn,29,ANA,64,-0.26,-0.62,West,Metropolitan
Jakob Silfverberg,33,ANA,62,-0.538,-1.24,West,Metropolitan
Ryan Strome,30,ANA,67,0.083,0.21,West,Metropolitan
Troy Terry,26,ANA,68,0.972,2.45,West,Metropolitan
Frank Vatrano,29,ANA,68,0.096,0.24,West,Metropolitan
Colton White,26,ANA,50,-0.087,-0.16,West,Metropolitan
Trevor Zegras,22,ANA,72,0.625,1.67,West,Metropolitan
Alec Regula,23,BOS,40,0.076,0.11,East,Atlantic
Nico Daws,23,NJD,41,-0.421,-0.64,East,Metro
Justin Dowling,33,NJD,34,-0.583,-0.73,East,Metro
Erik Kallgren,27,NJD,32,-0.658,-0.78,East,Metro
William Lagesson,27,TOR,47,0.202,0.35,East,Atlantic
Connor Brown,30,EDM,58,-0.13,-0.28,West,Metropolitan
Drake Caggiula,29,EDM,35,-0.405,-0.52,West,Metropolitan
Cam Dineen,25,EDM,42,-0.69,-1.07,West,Metropolitan
Thomas Harley,22,DAL,48,-0.096,-0.17,West,Central
Derrick Pouliot,30,DAL,41,0.939,1.43,West,Central
Scott Reedy,24,DAL,47,-0.187,-0.33,West,Central
Riley Nash,34,NYR,45,-0.744,-1.24,East,Metro
Corey Schueneman,28,COL,39,-0.278,-0.4,West,Central
Mikhail Maltsev,25,LAK,35,-0.591,-0.77,West,Metropolitan
Jacob Moverare,25,LAK,42,0.189,0.29,West,Metropolitan
Jordan Spence,22,LAK,43,-0.084,-0.13,West,Metropolitan
Vinni Lettieri,28,MIN,42,-0.332,-0.52,West,Central
Nic Petan,28,MIN,34,-0.609,-0.77,West,Central
John Hayden,28,SEA,51,-0.589,-1.11,West,Metropolitan
Kole Lind,25,SEA,40,-0.309,-0.46,West,Metropolitan
Dominic Toninato,29,WPG,63,-0.397,-0.93,West,Central
Jeffrey Viel,27,WPG,43,-0.445,-0.71,West,Central
Connor Bunnaman,25,FLA,34,-0.598,-0.75,East,Atlantic
Lucas Carlsson,26,FLA,49,-0.13,-0.24,East,Atlantic
Mike Reilly,30,FLA,59,-0.321,-0.7,East,Atlantic
Jasper Weatherby,26,NSH,51,-0.395,-0.75,West,Central
Will Butcher,29,PIT,44,-0.378,-0.62,East,Metro
Ty Smith,23,PIT,60,-0.393,-0.87,East,Metro
Radim Zohorna,27,PIT,36,-0.261,-0.35,East,Metro
Brett Murray,25,BUF,38,-0.306,-0.43,East,Atlantic
Dustin Tokarski,34,BUF,38,-0.39,-0.55,East,Atlantic
Matthew Highmore,27,OTT,49,-0.35,-0.64,East,Atlantic
Adam Gaudette,27,STL,55,-0.394,-0.8,West,Central
Mackenzie MacEachern,29,STL,32,-0.564,-0.67,West,Central
Scott Perunovich,25,STL,41,0.155,0.24,West,Central
Max Pacioretty,35,WSH,47,0.369,0.64,East,Metro
Michael Carcone,27,ARI,38,-0.298,-0.42,West,Central
John Leonard,25,ARI,35,-0.462,-0.6,West,Central
Lias Andersson,25,MTL,36,-0.63,-0.84,East,Atlantic
Jamie Drysdale,21,ANA,68,-0.371,-0.93,West,Metropolitan
Benoit-Olivier Groulx,23,ANA,38,-0.379,-0.53,West,Metropolitan
