Team,qbsc,rbsc,defsc,wrsc,draft,prevFS,fspred,awaysos,homesos,psos,PredWpct,predWins,UpdPred,lb,ub,GP,Wins,Losses,Division,League,FSOct03,GRem
ARI,-0.9913070699363035,-1.3545559488769767,-1.263617939556512,-2.13866856200443,3,-1.4761116664624372,0.3088414936567844,4.443914100780684,4.27014299478021,0.5125915938565231,0.29751391938333666,5.057736629516723,0.4235882352941176,0.2831597435683357,0.4231597435683357,4,1,3,NFC West,NFC,0.477,13
ATL,-0.9913070699363035,0.3924664732918868,-1.0318870507712874,-0.6096004486086588,8,-0.41684216494786447,0.41698059735792786,4.235285157241461,3.4641782584758736,0.45290961268925495,0.45752166850424525,7.77786836457217,0.4648235294117647,0.38586516795297165,0.5258651679529717,4,2,2,NFC South,NFC,0.454,13
BAL,-0.21629311695577996,0.514668005904744,0.6275078639931608,-0.10569335162085203,24,0.2736446212245978,0.5111382242119629,4.075161694629364,4.442160643773144,0.5010189610825004,0.5154052545627668,8.761889327567035,0.6735294117647059,0.48638367819393663,0.6263836781939367,4,3,1,AFC North,AFC,0.65,13
BUF,0.5798758999406228,0.4545481877756506,-0.08948153975811704,1.2007606375868103,30,1.678157515825401,0.616041260827869,4.385126582320974,4.720074560598026,0.5356000672305294,0.586067884365753,9.963154034217801,0.7805882352941176,0.578447519056027,0.7184475190560271,4,3,1,AFC East,AFC,0.79,13
CAR,-0.9913070699363035,1.6284164601834674,1.1256516004699135,-1.0704494770977675,9,-0.6993140320184175,0.47909269147839784,4.343672355008663,3.647601600785057,0.47007493857610116,0.5056907586861317,8.596742897664239,0.28447058823529414,0.39678353108029213,0.5367835310802922,4,0,4,NFC South,NFC,0.372,13
CHI,-1.7861491455541116,1.2690113505884393,0.7917460752834432,-0.8100351153817951,1,-1.4211865811987185,0.4024841363390862,4.406715573980831,3.830107758001716,0.48451901952838516,0.4158247470587363,7.069020699998517,0.23552941176470585,0.3146773229411154,0.4546773229411154,4,0,4,NFC North,NFC,0.308,13
CIN,1.7428791914382742,-1.257371310869108,0.5287802004233558,0.7933753044104784,27,1.434917852514648,0.6536154634443048,3.988882813657393,4.250976361812399,0.48469759855704664,0.6620678499165342,11.255153448581082,0.36011764705882354,0.5116474949415739,0.651647494941574,4,1,3,AFC South,AFC,0.394,13
CLE,-0.805431202803182,1.9453646161062188,0.054980333992017,1.3423230687643009,10,-0.22068114614886983,0.5145426611745512,3.814996728975893,4.565438007535622,0.49296674920655964,0.5198599081972087,8.837618439352548,0.4441764705882353,0.42200193573804606,0.5620019357380461,4,2,2,AFC South,AFC,0.427,13
DAL,0.3444117082561457,2.1718092640194016,0.9211957582656195,1.427562791783543,26,1.5918466675538432,0.6745723034559516,4.608942976532866,4.101973980128683,0.5124068798036205,0.6629275022179311,11.269767537704828,0.671235294117647,0.5881492515525517,0.7281492515525518,4,3,1,NFC East,NFC,0.647,13
DEN,0.3487905159225212,0.23013427258452737,0.8747914678858755,-0.67948061092452,5,-0.7934713210419346,0.5251153833287476,4.147834570338751,4.541461698919784,0.5111350746622667,0.508329493455252,8.641601388739284,0.33488235294117646,0.3941306454186764,0.5341306454186764,4,1,3,AFC West,AFC,0.361,13
DET,1.0516174699930056,0.3924664732918868,0.026623510974896528,-0.8067908617513434,18,0.6502737773186675,0.5902696027168484,4.461061107070134,3.8374488369911695,0.48814764376831193,0.595921657236436,10.130668173019412,0.6284117647058823,0.5238451600655052,0.6638451600655051,4,3,1,NFC North,NFC,0.591,13
GNB,-0.9913070699363035,0.7965921200477158,0.8493920843603343,-0.6810330559683714,14,-9.808050939953022e-4,0.4911299186883642,4.32468097654554,3.8148639361640413,0.47879675957115186,0.5103802242716731,8.676463812618442,0.47552941176470587,0.42766615699017113,0.5676661569901711,4,2,2,NFC North,NFC,0.468,13
HOU,-0.9913070699363035,-0.23525793595624273,0.2984034831141281,-1.081873136095458,2,-1.2642577661595225,0.40561264378781736,3.975924166001655,3.995037561730045,0.46888010163127647,0.4299234014019216,7.308697823832667,0.5497058823529412,0.3992463809813451,0.539246380981345,4,2,2,AFC South,AFC,0.565,13
IND,-0.9913070699363035,-0.9379068244213017,-0.5124790528362874,-0.8927473747025544,4,-1.9547445523319849,0.31783976817328763,3.9450360439668386,4.223778746259887,0.48051851707216037,0.3372644268721703,5.733495256826895,0.5183529411764707,0.3232850988105192,0.4632850988105192,4,2,2,AFC South,AFC,0.524,13
JAX,-0.5170329745487134,0.3924664732918868,0.8909150367405517,-1.2068521970581352,19,0.6424273365667078,0.5308423330140881,3.651892256346111,4.450463955781269,0.47660918894866944,0.5512913359483971,9.37195271112275,0.5275294117647059,0.47670393516387793,0.6167039351638779,4,2,2,AFC South,AFC,0.536,13
KAN,1.7285191207301773,0.03196461737396003,-2.8624656445657317,-0.08155064123550482,31,1.4663036155224862,0.5482342566567159,4.105605630405055,5.028513328815154,0.5373011152482476,0.5176679854303712,8.80035575231631,0.6039411764705882,0.4600675898012599,0.60006758980126,4,3,1,AFC West,AFC,0.559,13
LAC,0.6972303215629718,-0.37245221957801167,-0.6288008334153801,0.01092395491277339,25,0.14810156919324097,0.4920358983963452,4.114144232046918,4.96101193915125,0.5338327159528334,0.4668755277520202,7.936883971784343,0.5734117647058823,0.43561286942641414,0.5756128694264142,4,2,2,AFC West,AFC,0.596,13
LAR,0.061258352006549,-0.2052618774157624,-1.766219533554607,0.3404495634282386,6,-0.6051567429948997,0.44037367273333733,4.5305999052073815,3.9477681705869436,0.4987275338702544,0.43716492447549843,7.431803716083473,0.44723529411764706,0.36531544713284886,0.5053154471328489,4,2,2,NFC West,NFC,0.431,13
LVR,1.6473621671341852,-0.14301671009468897,-0.7232839474518241,0.9333703682147221,7,-0.9425536953291709,0.5345515131675073,4.050625564885461,4.480506535430062,0.5018313000185602,0.5255369552755957,8.934128239685128,0.29358823529411765,0.389375868692917,0.5293758686929171,4,1,3,AFC West,AFC,0.307,13
MIA,1.2077322885710542,0.10703711183773174,0.6029469390111858,1.4023754894937515,20,-0.40114928344394485,0.5586052584465617,4.30008534546994,4.79508671513437,0.5350101212120182,0.5286105787402493,8.986379838584238,0.737,0.5187274051181745,0.6587274051181744,4,3,1,AFC East,AFC,0.733,13
MIN,0.9263079318362843,-1.7912041672148433,-0.9303711600779221,0.9117913803768669,28,0.3599554694961557,0.4841265576071384,4.749034118669068,4.0162613587872045,0.5156056163209572,0.47495584810682673,8.074249417816054,0.4786470588235294,0.4271690936747787,0.5671690936747786,4,1,3,NFC North,NFC,0.549,13
NWE,-0.6522715304002731,0.4203704401754905,-0.6215914544370909,0.42482701923756844,15,0.006865635657964502,0.464571514276759,4.384178725702629,4.644303662610783,0.5310871993125537,0.43872699664458836,7.458358942958002,0.36164705882352943,0.35590889765121186,0.4959088976512119,4,1,3,AFC East,AFC,0.396,13
NOR,-0.2888966132697903,-1.3281212876117257,-0.36523367077618574,-0.25295038548796345,11,-0.3383777574282664,0.4434830290097163,3.9135841468078834,3.751435680284234,0.4508835192407128,0.4840991449197808,8.229685463636274,0.45947058823529413,0.40236940144384653,0.5423694014438465,4,2,2,NFC South,NFC,0.447,13
NYG,0.021416893371411314,-1.2826990802783818,-1.0072892980986239,-1.2848825064661877,21,0.226565976712839,0.4347269602774513,4.855694272013847,4.2426796392787,0.5351984653701498,0.40659751896433716,6.9121578223937314,0.21023529411764708,0.27281826327503594,0.41281826327503596,4,1,3,NFC East,NFC,0.198,13
NYJ,1.4111830353514068,0.5438228669414973,0.3538210227385165,0.6732261162776574,12,-0.44038148720374387,0.5832325119261054,4.322726854955398,4.586913108924178,0.52409646846350455,0.5564663255601892,9.459927534523215,0.40447058823529414,0.4557264278921323,0.5957264278921324,4,1,3,AFC East,AFC,0.452,13
PHI,1.0217779447392623,0.8142605679859299,-0.14171874734202922,2.3838765314187644,32,1.7801612456008784,0.655794812147884,4.492572908081472,4.140718435573329,0.5078406672738118,0.6501390855044851,11.052364453576246,0.6658235294117647,0.5551973598531394,0.6951973598531396,4,4,0,NFC East,NFC,0.563,13
PIT,-0.9440827609193803,-1.8776367845589421,2.5887009629671858,-0.46587039888141557,22,-0.3383777574282664,0.45733353427243534,3.8816419857167683,4.59263191913767,0.4984867002855552,0.46411572351854563,7.889967299815276,0.44799999999999995,0.3844810064629819,0.5244810064629819,4,2,2,AFC North,AFC,0.432,13
SEA,0.1272165732945121,0.04100647441308622,0.3922815984237341,-0.700031110966279,23,0.18733377295304,0.5039680390240001,4.731488031167496,3.9197834667649625,0.5088983234077917,0.4999228173315271,8.49868789463596,0.6154117647058823,0.4521459721320689,0.592145972132069,4,3,1,NFC West,NFC,0.574,13
SFO,0.4121630422359128,0.12632048721219727,0.3765267003033783,0.785263293841353,29,1.9684758236479138,0.6347677342752743,4.324859970656517,3.9410929395086463,0.48623252412736256,0.645732984795201,10.977460741518417,0.8065294117647059,0.6067130893566406,0.7467130893566407,4,4,0,NFC West,NFC,0.747,13
TAM,-1.4331054364319322,-0.5580234029896828,0.2616745568894273,0.11189224669708436,16,-0.23637402765278942,0.41385678270485365,4.289074201205793,4.00212977845953,0.48771788115678366,0.4289535776788735,7.292210820540849,0.645235294117647,0.4141675043752114,0.5541675043752115,4,3,1,NFC South,NFC,0.613,13
TEN,0.25266981405299105,-0.5406859684085816,0.2111161654538097,-0.22162831665352054,13,-0.5345387762272615,0.4831825763955808,3.6421160105833112,4.311125658888132,0.46783774526302613,0.509937303586212,8.668934160965605,0.4525882352941176,0.4183561125103484,0.5583561125103484,4,2,2,AFC South,AFC,0.438,13
WAS,-0.9913070699363035,-0.3885327447514684,0.16738451135106538,0.34811978446084485,17,-0.33053131667630664,0.4290368670262981,4.699335794528165,4.285833959426863,0.5285393972914721,0.40850666963714194,6.944613383831413,0.43117647058823527,0.33895466874599933,0.47895466874599935,4,2,2,NFC East,NFC,0.41,13
